S,tau,scen,mode,cv_bias,cv_mean,P_switch,G_gate,G_nogate,dims_kept,rule,G_F,G_S,P_switch_to_worse,report_bias_when_switch,r,split,cv_sd,G_F_gate,G_S_gate,G_F_written,P_write,relax_share_selected,G_F_selected_nogate
S6,0.0,nearopt,,-0.5610406100582074,,0.191,,,,pooled,-1.8282252032360333,-1.8282252032360333,,,0.0,i_整年2折,3.33427154957194,-0.4481389724700304,-0.4481389724700304,,,,
S6,0.0,nearopt,,-0.6592991963468344,,0.191,,,,worst,-1.7299666169474062,-1.7299666169474062,,,0.0,i_整年2折,3.374910528538075,-0.4332317970717865,-0.4332317970717865,,,,
S6,0.0,nearopt,,-0.3264755095243844,,0.208,,,,pooled,-1.8282252032360333,-1.8282252032360333,,,0.0,ii_半年4折_purge,3.0663741264846367,-0.47570152969946644,-0.47570152969946644,,,,
S6,0.0,nearopt,,-0.6109085651132645,,0.182,,,,worst,-1.144662732421494,-1.144662732421494,,,0.0,ii_半年4折_purge,2.790993578824738,-0.35441811950206636,-0.35441811950206636,,,,
S6,0.0,nearopt,,-0.6298548313044194,,0.191,,,,pooled,-1.810380974954486,-1.810380974954486,,,0.5,i_整年2折,3.3566973516186556,-0.4465930778697349,-0.4465930778697349,,,,
S6,0.0,nearopt,,-0.8125086269359522,,0.191,,,,worst,-1.6277271793229533,-1.6277271793229533,,,0.5,i_整年2折,3.4470368396191433,-0.4296977620469579,-0.4296977620469579,,,,
S6,0.0,nearopt,,-0.44788347384834865,,0.192,,,,pooled,-1.810380974954486,-1.810380974954486,,,0.5,ii_半年4折_purge,3.1342666786881086,-0.4336786448317771,-0.4336786448317771,,,,
S6,0.0,nearopt,,-0.7010689621432339,,0.182,,,,worst,-1.102291144087329,-1.102291144087329,,,0.5,ii_半年4折_purge,2.991768842231054,-0.3675191683410944,-0.3675191683410944,,,,
S6,0.0,nearopt,,-0.5448952417205722,,0.182,,,,pooled,-1.8255333071622601,-1.8255333071622601,,,1.0,i_整年2折,3.274214127375044,-0.40179586296010267,-0.40179586296010267,,,,
S6,0.0,nearopt,,-0.720446834302805,,0.182,,,,worst,-1.6499817145800275,-1.6499817145800275,,,1.0,i_整年2折,3.2966017299637365,-0.3670650517501863,-0.3670650517501863,,,,
S6,0.0,nearopt,,-0.39244186932300873,,0.199,,,,pooled,-1.8255333071622601,-1.8255333071622601,,,1.0,ii_半年4折_purge,3.1291463202720506,-0.4318483819974101,-0.4318483819974101,,,,
S6,0.0,nearopt,,-0.6095817024608386,,0.192,,,,worst,-1.105495211276837,-1.105495211276837,,,1.0,ii_半年4折_purge,2.9851540135190024,-0.38615673277413803,-0.38615673277413803,,,,
