S,tau,scen,mode,cv_bias,cv_mean,P_switch,G_gate,G_nogate,dims_kept,rule,G_F,G_S,P_switch_to_worse,report_bias_when_switch,r,split,cv_sd,G_F_gate,G_S_gate,G_F_written,P_write,relax_share_selected,G_F_selected_nogate
S6,1.8,nearopt,,1.4237820811920558,,0.411,,,,worst,-1.8193591078854319,-1.7725414102307178,,,1.0,ii_半年4折_purge,5.121279275641758,-0.9746393158957942,-0.986782320977535,,,,
S5,0.0,null,a_三块整块留出(往前段参与挑选),,,,,,,,,,,,,,,,,-0.0207,0.014,0.35348436147186146,-2.0567999999999995
S5,0.0,null,b_两年+往前段当确认,,,,,,,,,,,,,,,,,-0.0017999999999999997,0.00175,0.3095099657287157,-1.7132999999999998
S5,0.0,null,b0_两年、不用往前段,,,,,,,,,,,,,,,,,-0.021299999999999996,0.01375,0.3095099657287157,-1.7132999999999998
S5,0.0,null,c_四个半年块+往前段当确认,,,,,,,,,,,,,,,,,-0.0048,0.00275,0.3095099657287157,-1.7132999999999998
S5,0.0,one+3,a_三块整块留出(往前段参与挑选),,,,,,,,,,,,,,,,,0.10230000000000002,0.084,0.3172758477633478,0.9012000000000002
S5,0.0,one+3,b_两年+往前段当确认,,,,,,,,,,,,,,,,,0.0693,0.038,0.27247475649350644,1.2537000000000003
S5,0.0,one+3,b0_两年、不用往前段,,,,,,,,,,,,,,,,,0.1179,0.0745,0.27247475649350644,1.2537000000000003
S5,0.0,one+3,c_四个半年块+往前段当确认,,,,,,,,,,,,,,,,,0.052349999999999994,0.03125,0.27247475649350644,1.2537000000000003
S5,0.9,null,a_三块整块留出(往前段参与挑选),,,,,,,,,,,,,,,,,-0.03566558977612389,0.0165,0.36927272727272725,-2.220760449277665
S5,0.9,null,b_两年+往前段当确认,,,,,,,,,,,,,,,,,-0.0046052295248882455,0.00275,0.3310469246031746,-1.9216147015426608
S5,0.9,null,b0_两年、不用往前段,,,,,,,,,,,,,,,,,-0.03210549487118935,0.0165,0.3310469246031746,-1.9216147015426608
S5,0.9,null,c_四个半年块+往前段当确认,,,,,,,,,,,,,,,,,-0.004191911370495919,0.00225,0.3310469246031746,-1.9216147015426608
S5,0.9,one+3,a_三块整块留出(往前段参与挑选),,,,,,,,,,,,,,,,,0.06663217125208099,0.081,0.3315680555555556,0.7274324756994638
S5,0.9,one+3,b_两年+往前段当确认,,,,,,,,,,,,,,,,,0.04980891961271162,0.03175,0.2925902236652237,1.0593103030733473
S5,0.9,one+3,b0_两年、不用往前段,,,,,,,,,,,,,,,,,0.09198318601601249,0.07225,0.2925902236652237,1.0593103030733473
S5,0.9,one+3,c_四个半年块+往前段当确认,,,,,,,,,,,,,,,,,0.05048923474583878,0.03975,0.2925902236652237,1.0593103030733473
