symbol,mfr,fp
CYRX,0.2757619930603237,none
CYRX,0.14271449961795923,down
CYRX,-0.032694090714845636,down
CYRX,0.024251011969496528,down
CYRX,0.3027329752098151,up
CYRX,0.022914182089257107,down
CYRX,0.10566039908691982,none
CYRX,0.03262642781226743,down
CYRX,0.28118537969316537,up
CYRX,0.2543860010388743,none
CYRX,0.3115501375262073,up
CYRX,0.1618144424898893,none
OUT,0.011582873995097165,down
OUT,0.20628639441178342,up
OUT,0.07117893707801093,none
OUT,0.08990145859960985,down
OUT,0.20097365336897188,up
OUT,0.1795312890766112,down
OUT,0.19855685994874173,up
OUT,0.07722013571509301,none
OUT,0.03400007620759937,down
OUT,0.15432501932316312,up
OUT,0.5608482918263238,up
OUT,0.036540842391219464,down
LH,0.10570149409460927,up
LH,0.12101345400410857,up
LH,0.13634874432417243,up
LH,0.11514687509889798,none
LH,0.11734500494774958,up
LH,0.13439450957021992,up
LH,0.08619881319962852,none
LH,0.0856747945182641,down
LH,0.016460970010462983,none
LH,0.0563444195206797,down
LH,0.05612888647278247,down
LH,0.050913624928488055,down
ELBM,-0.028776929829037567,down
ELBM,0.3590604579908867,up
ELBM,0.30316744901884873,none
ELBM,0.057894724183685575,none
ELBM,0.3571428337501401,up
ELBM,0.06065573706418004,down
ELBM,0.33689839231292606,none
ELBM,0.04054050135560283,none
ELBM,0.7243903008122878,down
ELBM,0.048387050256521125,none
ELBM,0.3965517439825208,up
ELBM,0.05511815236486828,none
TDS-PU,0.10370604320455579,up
TDS-PU,0.0052624725489718305,down
TDS-PU,0.19418668112329485,up
TDS-PU,0.06643534328646772,down
TDS-PU,0.0655355512695015,none
TDS-PU,0.04207582787767339,down
TDS-PU,0.05007711216344157,down
TDS-PU,0.12280426536833011,up
TDS-PU,0.08521712334758624,up
TDS-PU,0.04089220227560797,up
TDS-PU,0.0714638800251659,none
TDS-PU,0.15352941931456443,up
BIOA,0.5577341737856341,up
BIOA,1.9090909090909092,up
BIOA,0.16173122089759007,none
BIOA,0.8927444339416593,up
BIOA,1.6666666666666665,up
BIOA,0.08974360933749082,none
BIOA,0.019108312496595836,none
BIOA,0.8828125470511936,up
BIOA,0.8143461596499171,up
BIOA,0.016949136104436047,down
BIOA,0.25384608895115757,none
BIOA,0.015384547668098714,down
LOPE,0.12787284917658592,up
LOPE,0.09247760789439652,up
LOPE,0.040783901586152194,down
LOPE,0.28081820840152427,up
LOPE,0.010081228653145313,down
LOPE,0.016338277968463544,down
LOPE,0.06360404788303864,none
LOPE,0.2840026421338264,up
LOPE,0.24457178093866871,up
LOPE,0.24947694223021455,up
LOPE,0.2565777771514852,up
LOPE,0.01149522980657669,none
GDS,0.4459689745136486,up
GDS,0.19080785447779647,down
GDS,0.3112503977200609,none
GDS,0.3633260704557906,up
GDS,0.4572163412499628,up
GDS,0.2657777574327258,none
GDS,0.2524976998346098,up
GDS,0.48662151591045943,up
GDS,0.0763765221310877,down
GDS,0.45868191242018086,none
GDS,0.20669295403627652,up
GDS,1.0831674297802665,up
BCAT,0.0037199822760858314,down
BCAT,0.0648619747022039,up
BCAT,0.03168767969702735,none
BCAT,0.014799370292642777,down
BCAT,0.0779889994339753,up
BCAT,0.01230795290586828,down
BCAT,0.12977924420871267,up
BCAT,0.03299244679033886,none
BCAT,0.08142655237518714,up
BCAT,0.014547618023643683,none
BCAT,0.10020196923671776,up
BCAT,0.06753484954587541,up
CCNE,0.41123945065671585,up
CCNE,0.03430469137275827,none
CCNE,0.09868907859004539,none
CCNE,0.02265558498145226,none
CCNE,0.1156616436611757,up
CCNE,0.25816150819639305,up
CCNE,0.047991123419377946,none
CCNE,0.057306636763448715,none
CCNE,0.12989976426188954,up
CCNE,0.030540197765440036,none
CCNE,0.39802304345554007,up
CCNE,0.10856926495479091,none
ICHR,0.15028858611082074,none
ICHR,0.011088707028496403,down
ICHR,0.019073550895804203,down
ICHR,0.026951233238544203,down
ICHR,0.07343530830658529,down
ICHR,0.015265280889072752,none
ICHR,0.016129038421897057,down
ICHR,0.07042829638028758,down
ICHR,1.5393257211517608,up
ICHR,0.062041855616507435,none
ICHR,1.0396174801983928,up
ICHR,0.11168968842931104,none
SEAL-PB,0.03016874253591184,down
SEAL-PB,0.05315114168477142,up
SEAL-PB,0.02812269698741754,none
SEAL-PB,0.026798009439809478,down
SEAL-PB,0.030010420840892005,down
SEAL-PB,0.030919510821254992,none
SEAL-PB,0.021628301897872237,down
SEAL-PB,0.024341028533283904,none
SEAL-PB,0.017397085884474306,none
SEAL-PB,0.045901194878779306,up
SEAL-PB,0.0320409607010379,none
SEAL-PB,0.06384682404270858,up
BHF,0.08714824083145145,down
BHF,0.11787818900063174,none
BHF,0.0016054392215498758,down
BHF,0.011151014067083631,down
BHF,0.11217233408779737,none
BHF,0.09481610184244649,down
BHF,0.04683845950039589,down
BHF,0.33472109751474544,up
BHF,0.06792641725838089,none
BHF,0.33611170043681815,up
BHF,0.4354036603593592,up
BHF,0.07217789839954802,down
NSC,0.0709912368017993,none
NSC,0.05703034685518449,none
NSC,0.05529850629316657,down
NSC,0.14716481172070361,up
NSC,0.04421870096797598,none
NSC,0.04066349594324592,down
NSC,0.2374503085032127,up
NSC,0.0977886615000152,up
