symbol,bars,n_pk_high,n_pk_close,n_pk_shared,n_pk_high_only,n_pk_close_only,mean_price_ratio,n_bo_high,n_bo_close,n_bo_shared,n_bo_high_only,n_bo_close_only,mean_dist_close_only
FXF,366,0,0,0,0,0,,0,0,0,0,0,
SABA,366,0,0,0,0,0,,0,0,0,0,0,
FMFG,366,2,2,2,0,0,1.1338371455351628,1,2,1,0,1,
AMRC,366,15,12,5,10,7,1.0184697558872218,10,10,5,5,5,2.142857142857143
FMCCJ,366,7,4,1,6,3,1.0371921989941109,4,5,3,1,2,2.6666666666666665
TWST,366,14,13,10,4,3,1.0255132809581906,10,10,4,6,6,11.666666666666666
LU,366,11,10,7,4,3,1.025162204318693,9,9,7,2,2,1.0
CVVUF,366,14,14,8,6,6,1.0292847677106287,8,10,6,2,4,2.5
CNTHP,366,1,1,1,0,0,1.0888888888888888,0,0,0,0,0,
CATO,366,13,12,8,5,4,1.0250623230369595,6,6,6,0,0,1.5
PHNMF,366,18,17,10,8,7,1.0602310075085053,7,11,5,2,6,3.7142857142857144
PC,362,15,13,5,10,8,1.0323586271901752,8,7,2,6,5,3.5
QCOM,366,4,3,2,2,1,1.052794446397469,2,2,2,0,0,1.0
AGIO,366,9,9,6,3,3,1.0217334084065894,6,6,4,2,2,3.0
RLBY,366,16,15,13,3,2,1.0217597132110976,7,8,7,0,1,2.0
DGNX,282,10,11,6,4,5,1.1271047436036652,4,8,4,0,4,11.4
SPOK,366,2,2,1,1,1,1.0011736237875912,2,2,2,0,0,1.0
TPCS,366,13,11,3,10,8,1.0323731999307526,8,9,5,3,4,1.625
KMRK,162,5,5,2,3,3,1.0619691275066958,5,4,4,1,0,4.666666666666667
SLB,366,2,1,1,1,0,1.0219236290740015,2,1,1,1,0,
KBDC,366,0,0,0,0,0,,0,0,0,0,0,
JXN-PA,366,0,0,0,0,0,,0,0,0,0,0,
BTC,366,7,4,3,4,1,1.005003307794629,4,2,2,2,0,1.0
CNOBP,366,0,0,0,0,0,,0,0,0,0,0,
MAGE,366,18,14,7,11,7,1.0,8,11,6,2,5,3.857142857142857
NASC,366,17,17,12,5,5,1.036889358608939,9,12,6,3,6,3.2
CVX,366,1,1,0,1,1,,2,2,2,0,0,4.0
UPC,366,18,14,10,8,4,1.3392021617385736,4,6,3,1,3,2.5
CLDI,366,12,13,3,9,10,1.0637198711431068,3,5,3,0,2,9.7
REEAF,366,16,13,7,9,6,1.0991741355795421,6,5,2,4,3,2.6666666666666665
PAC,366,1,2,1,0,1,1.0,0,1,0,0,1,39.0
CAPNU,365,0,0,0,0,0,,0,0,0,0,0,
SVM,366,9,5,3,6,2,1.035284409796321,9,7,3,6,4,1.0
LGCL,366,17,19,11,6,8,1.064083693601868,3,9,2,1,7,4.375
FPRGF,366,17,16,8,9,8,1.0,7,8,6,1,2,3.875
PBI,366,8,5,3,5,2,1.006480076698388,5,4,3,2,1,1.0
EAF,366,19,14,5,14,9,1.0419722704124612,10,11,4,6,7,2.0
