symbol,bars,n_pk_high,n_pk_close,n_pk_shared,n_pk_high_only,n_pk_close_only,mean_price_ratio,n_bo_high,n_bo_close,n_bo_shared,n_bo_high_only,n_bo_close_only,mean_dist_close_only
PREJF,366,0,0,0,0,0,,0,0,0,0,0,
GMBLP,366,18,19,12,6,7,1.0888648438606223,4,5,3,1,2,4.142857142857143
BIO-B,366,0,0,0,0,0,,0,0,0,0,0,
EXOD,366,16,16,12,4,4,1.0730192439104496,6,8,5,1,3,6.75
CYH,366,12,11,8,4,3,1.0306622246223331,6,8,4,2,4,1.0
ASTE,366,9,5,3,6,2,1.0054521567427281,8,6,5,3,1,1.5
PODD,366,5,3,1,4,2,1.0134203174669238,4,3,2,2,1,1.0
CYRX,366,19,17,6,13,11,1.0243968255534075,10,15,8,2,7,2.3636363636363638
OUT,366,1,1,1,0,0,1.0065867483818947,2,2,1,1,1,
LH,366,2,0,0,2,0,,2,0,0,2,0,
HVII,271,0,0,0,0,0,,0,0,0,0,0,
GLXY,202,8,8,4,4,4,1.037806791976655,5,6,3,2,3,1.5
GDS,366,15,14,10,5,4,1.0379292269546974,8,11,3,5,8,1.5
BCAT,366,0,0,0,0,0,,0,0,0,0,0,
JENA,158,0,0,0,0,0,,0,0,0,0,0,
CCNE,366,3,2,1,2,1,1.0013675526676016,3,2,2,1,0,1.0
ICHR,366,17,16,6,11,10,1.018899988098972,14,16,6,8,10,3.0
AILLI,366,0,0,0,0,0,,0,0,0,0,0,
SEAL-PB,366,0,0,0,0,0,,0,0,0,0,0,
ELBM,366,15,12,5,10,7,1.083901420947265,5,6,4,1,2,1.8571428571428572
TDS-PU,366,0,0,0,0,0,,0,0,0,0,0,
BIOA,361,13,10,7,6,3,1.0265588434726363,11,11,5,6,6,1.0
LOPE,366,5,3,0,5,3,,5,2,2,3,0,1.0
BTDPY,366,2,1,1,1,0,1.003819724228573,2,0,0,2,0,
DFIN,366,8,7,2,6,5,1.0176281303005972,3,4,2,1,2,1.0
RLFTF,366,17,16,12,5,4,1.024185155666283,5,6,5,0,1,2.75
FULO,366,9,8,2,7,6,1.0102564314178233,5,5,4,1,1,5.5
CGDXF,366,9,10,5,4,5,1.0,7,8,6,1,2,2.4
JJETF,366,1,1,1,0,0,1.0,0,0,0,0,0,
THSGF,366,14,16,7,7,9,1.0322098160106965,14,16,5,9,11,6.666666666666667
PNRG,366,11,10,5,6,5,1.022300424763441,5,9,3,2,6,3.6
ETON,366,15,11,3,12,8,1.0308846435029968,12,10,7,5,3,1.5
AGNPF,366,21,21,16,5,5,1.0107424064823458,8,11,7,1,4,3.6
CBIH,366,14,17,8,6,9,1.0113636435794622,3,5,3,0,2,15.333333333333334
RGNX,366,17,16,10,7,6,1.0358639380122976,12,13,5,7,8,2.0
PRT,366,8,3,1,7,2,1.0135440056669354,5,1,1,4,0,1.0
NODK,366,0,0,0,0,0,,0,0,0,0,0,
FISK,366,3,2,2,1,0,1.0,0,0,0,0,0,
NIMUD,366,14,13,11,3,2,1.0055944087579316,8,9,8,0,1,6.5
KACLF,366,1,1,1,0,0,1.0,0,0,0,0,0,
COIN,366,16,14,10,6,4,1.0212333434219893,10,9,8,2,1,5.25
ADP,366,0,0,0,0,0,,0,0,0,0,0,
HBB,366,10,7,2,8,5,1.0286068511346222,4,4,1,3,3,2.0
BHF,366,7,6,2,5,4,1.0364798554978436,1,3,1,0,2,2.0
NSC,366,0,0,0,0,0,,0,0,0,0,0,
CPK,366,0,0,0,0,0,,0,0,0,0,0,
ARDC,366,1,1,1,0,0,1.0014055135915014,3,3,1,2,2,
BML-PH,366,0,0,0,0,0,,0,0,0,0,0,
CNH,366,7,5,4,3,1,1.0136966464982693,5,7,3,2,4,2.0
PTFRF,366,0,0,0,0,0,,0,0,0,0,0,
KOD,366,13,13,5,8,8,1.0488394722115602,7,9,4,3,5,3.25
