symbol,match_id,tb_id,bo_id,burst_id,group,n_burst_variants,is_rep,own_burst_exists,own_burst_qualified,burst_count,bo_rank_in_burst,bars_bo_to_burst_end,first_bo_idx,last_bo_idx,tb_start,tb_end,tb_date,first_drought,distinct_pk,max_bar_vol_ratio,peak_age_max,fr,dd,fp_up,fp_down,fp_both,fp_none,n_buy_bars,fp4_up,fp4_down,fp6_up,fp6_down,atr_pct,close_at_buy
AIP,bb_v1@300-310#bo:bo_305#0|burst:burst_300_310#0|tb:tb_307#0,tb_307#0,bo_305#0,burst_300_310#0,新增,1,1,1,0,3,2,5,300,310,307,307,2024-12-06,94,4,4.655402896398069,152,0.40600674806809334,-0.04115682925240627,1,0,0,0,1,1,0,1,0,0.05030309022308495,8.989999771118164
AIP,bb_v1@300-314#bo:bo_310#0|burst:burst_300_310#0|tb:tb_314#0,tb_314#0,bo_310#0,burst_300_310#0,原有,1,1,1,1,3,3,0,300,310,314,314,2024-12-17,94,4,4.655402896398069,152,0.2640000343322755,-0.1279999732971191,1,0,0,0,1,1,0,0,0,0.05171594377438808,10.0
AHCO,bb_v1@110-116#bo:bo_110#0|burst:burst_110#0|tb:tb_113_116#0,tb_113_116#0,bo_110#0,burst_110#0,原有,1,1,1,1,1,1,0,110,110,113,116,2024-03-01,57,3,4.97228354901279,102,0.11853421499261074,-0.13368424702093412,0,0,0,4,4,0,0,0,0,0.0634624652628096,10.520000457763672
ALGS,bb_v1@107-112#bo:bo_109#0|burst:burst_107_109#0|tb:tb_112#0,tb_112#0,bo_109#0,burst_107_109#0,原有,1,1,1,1,2,2,0,107,109,112,112,2024-02-29,87,5,5.241554095861321,100,0.21212121212121215,-0.26262626262626265,0,0,0,1,1,0,1,0,0,0.07539914515323873,24.75
AAOI,bb_v1@238-247#bo:bo_238#0|burst:burst_238_247#0|tb:tb_246#0,tb_246#0,bo_238#0,burst_238_247#0,新增,2,1,1,0,3,1,9,238,247,246,246,2024-09-11,66,5,3.012757567557119,102,0.5610130905159905,-0.04681501682104405,1,0,0,0,1,1,0,1,0,0.07934082494471568,13.029999732971191
AAOI,bb_v1@238-255#bo:bo_238#0|burst:burst_238_255#0|tb:tb_246#0,tb_246#0,bo_238#0,burst_238_255#0,新增,2,0,1,0,4,1,17,238,255,246,246,2024-09-11,66,7,3.012757567557119,128,0.5610130905159905,-0.04681501682104405,1,0,0,0,1,1,0,1,0,0.07934082494471568,13.029999732971191
AAOI,bb_v1@238-247#bo:bo_240#0|burst:burst_238_247#0|tb:tb_246#1,tb_246#1,bo_240#0,burst_238_247#0,新增,2,1,1,0,3,2,7,238,247,246,246,2024-09-11,66,5,3.012757567557119,102,0.5610130905159905,-0.04681501682104405,1,0,0,0,1,1,0,1,0,0.07934082494471568,13.029999732971191
AAOI,bb_v1@238-255#bo:bo_240#0|burst:burst_238_255#0|tb:tb_246#1,tb_246#1,bo_240#0,burst_238_255#0,新增,2,0,1,0,4,2,15,238,255,246,246,2024-09-11,66,7,3.012757567557119,128,0.5610130905159905,-0.04681501682104405,1,0,0,0,1,1,0,1,0,0.07934082494471568,13.029999732971191
AAOI,bb_v1@238-254#bo:bo_247#0|burst:burst_238_247#0|tb:tb_250_254#0,tb_250_254#0,bo_247#0,burst_238_247#0,原有,2,1,1,1,3,3,0,238,247,250,254,2024-09-17,66,5,3.012757567557119,102,1.1126632521609234,-0.09882521563380646,5,0,0,0,5,5,0,5,0,0.08771660677984355,13.579999923706055
AAOI,bb_v1@238-255#bo:bo_247#0|burst:burst_238_255#0|tb:tb_250_254#0,tb_250_254#0,bo_247#0,burst_238_255#0,原有,2,0,1,1,4,3,8,238,255,250,254,2024-09-17,66,7,3.012757567557119,128,1.1126632521609234,-0.09882521563380646,5,0,0,0,5,5,0,5,0,0.08771660677984355,13.579999923706055
AAOI,bb_v1@238-259#bo:bo_255#0|burst:burst_238_255#0|tb:tb_259#0,tb_259#0,bo_255#0,burst_238_255#0,原有,1,1,1,1,4,4,0,238,255,259,259,2024-09-30,66,7,3.012757567557119,128,1.7679943709891615,-0.13207549181702805,1,0,0,0,1,1,0,1,0,0.09229724871970682,14.3100004196167
ADAPY,bb_v1@69-83#bo:bo_75#0|burst:burst_69_75#0|tb:tb_82_83#0,tb_82_83#0,bo_75#0,burst_69_75#0,原有,1,1,1,1,2,2,0,69,75,82,83,2024-01-17,49,3,3.3730629590698333,69,1.8314970217938933,-0.05661469124070406,2,0,0,0,2,2,0,2,0,0.13497750789041849,0.7250000238418579
ACIC,bb_v1@277-289#bo:bo_285#0|burst:burst_277_285#0|tb:tb_288_289#0,tb_288_289#0,bo_285#0,burst_277_285#0,原有,2,1,1,1,2,2,0,277,285,288,289,2024-11-08,174,3,4.246139907131262,60,0.13608736864518123,-0.0774726786832613,0,0,0,2,2,0,0,0,0,0.046082562637094315,11.90058708190918
ACIC,bb_v1@277-289#bo:bo_285#0|burst:burst_277_286#0|tb:tb_288_289#0,tb_288_289#0,bo_285#0,burst_277_286#0,原有,2,0,1,1,3,2,1,277,286,288,289,2024-11-08,174,3,4.246139907131262,60,0.13608736864518123,-0.0774726786832613,0,0,0,2,2,0,0,0,0,0.046082562637094315,11.90058708190918
ACIC,bb_v1@277-289#bo:bo_286#0|burst:burst_277_286#0|tb:tb_288_289#1,tb_288_289#1,bo_286#0,burst_277_286#0,原有,1,1,1,1,3,3,0,277,286,288,289,2024-11-08,174,3,4.246139907131262,60,0.13608736864518123,-0.0774726786832613,0,0,0,2,2,0,0,0,0,0.046082562637094315,11.90058708190918
AMBIQ,bb_v1@214-219#bo:bo_217#0|burst:burst_214_219#0|tb:tb_219#0,tb_219#0,bo_217#0,burst_214_219#0,新增,1,1,1,0,3,2,2,214,219,219,219,2024-08-02,144,3,7.210794281071638,71,0.16593975771091785,-0.3173758872743404,0,1,0,0,1,0,1,0,0,0.08976081718325855,5.639999866485596
AMBIQ,bb_v1@214-221#bo:bo_219#0|burst:burst_214_219#0|tb:tb_221#0,tb_221#0,bo_219#0,burst_214_219#0,原有,1,1,1,1,3,3,0,214,219,221,221,2024-08-06,144,3,7.210794281071638,71,0.2163627243558901,-0.28785469405712294,0,0,0,1,1,0,1,0,0,0.09558726334815584,5.406199932098389
AMBR,bb_v1@296-315#bo:bo_296#0|burst:burst_296#0|tb:tb_311_315#0,tb_311_315#0,bo_296#0,burst_296#0,原有,2,1,1,1,1,1,0,296,296,311,315,2024-12-12,95,3,3.9049907578558223,79,0.4187865778605088,-0.1085831225839979,0,0,0,5,5,0,0,0,0,0.1382361897453565,7.710000038146973
AMBR,bb_v1@296-315#bo:bo_296#0|burst:burst_296_297#0|tb:tb_311_315#0,tb_311_315#0,bo_296#0,burst_296_297#0,原有,2,0,1,1,2,1,1,296,297,311,315,2024-12-12,95,4,3.9049907578558223,162,0.4187865778605088,-0.1085831225839979,0,0,0,5,5,0,0,0,0,0.1382361897453565,7.710000038146973
