symbol,match_id,tb_id,bo_id,burst_id,group,n_burst_variants,is_rep,own_burst_exists,own_burst_qualified,burst_count,bo_rank_in_burst,bars_bo_to_burst_end,first_bo_idx,last_bo_idx,tb_start,tb_end,tb_date,first_drought,distinct_pk,max_bar_vol_ratio,peak_age_max,fr,dd,fp_up,fp_down,fp_both,fp_none,n_buy_bars,fp4_up,fp4_down,fp6_up,fp6_down,atr_pct,close_at_buy
DRIO,bb_v1@254-259#bo:bo_257#0|burst:burst_254_257#0|tb:tb_259#1,tb_259#1,bo_257#0,burst_254_257#0,原有,1,1,1,1,3,3,0,254,257,259,259,2025-10-02,107,4,70.67295834297697,107,0.027214782912365454,-0.47828604574058253,0,1,0,0,1,0,1,0,1,0.12016021429138923,17.270000457763672
DOMO,bb_v1@160-174#bo:bo_168#0|burst:burst_160_168#0|tb:tb_173_174#0,tb_173_174#0,bo_168#0,burst_160_168#0,原有,1,1,1,1,2,2,0,160,168,173,174,2025-05-30,114,5,12.291226306530337,114,0.288622589236846,-0.07567427189344239,2,0,0,0,2,2,0,1,0,0.04333899131190549,12.699999809265137
DOUG,bb_v1@161-169#bo:bo_161#0|burst:burst_161_169#0|tb:tb_165_166#0,tb_165_166#0,bo_161#0,burst_161_169#0,新增,2,1,1,0,3,1,8,161,169,165,166,2025-05-19,68,3,26.43724338803823,68,0.42545340909918095,-0.09127348223308124,2,0,0,0,2,2,0,2,0,0.051802856537016634,2.2300000190734863
DOUG,bb_v1@161-170#bo:bo_161#0|burst:burst_161_170#0|tb:tb_165_166#0,tb_165_166#0,bo_161#0,burst_161_170#0,新增,2,0,1,0,4,1,9,161,170,165,166,2025-05-19,68,4,26.43724338803823,123,0.42545340909918095,-0.09127348223308124,2,0,0,0,2,2,0,2,0,0.051802856537016634,2.2300000190734863
DOUG,bb_v1@161-169#bo:bo_164#0|burst:burst_161_169#0|tb:tb_168#0,tb_168#0,bo_164#0,burst_161_169#0,新增,2,1,1,0,3,2,5,161,169,168,168,2025-05-22,68,3,26.43724338803823,68,0.49532705178395586,-0.023364573964402724,1,0,0,0,1,1,0,1,0,0.056077611528657645,2.140000104904175
DOUG,bb_v1@161-170#bo:bo_164#0|burst:burst_161_170#0|tb:tb_168#0,tb_168#0,bo_164#0,burst_161_170#0,新增,2,0,1,0,4,2,6,161,170,168,168,2025-05-22,68,4,26.43724338803823,123,0.49532705178395586,-0.023364573964402724,1,0,0,0,1,1,0,1,0,0.056077611528657645,2.140000104904175
DOUG,bb_v1@161-187#bo:bo_169#0|burst:burst_161_169#0|tb:tb_177_187#0,tb_177_187#0,bo_169#0,burst_161_169#0,原有,2,1,1,1,3,3,0,161,169,177,187,2025-06-05,68,3,26.43724338803823,68,0.13054860105844898,-0.26051000007734015,0,11,0,0,11,0,11,0,3,0.06153577322157469,2.680000066757202
DOUG,bb_v1@161-187#bo:bo_169#0|burst:burst_161_170#0|tb:tb_177_187#0,tb_177_187#0,bo_169#0,burst_161_170#0,原有,2,0,1,1,4,3,1,161,170,177,187,2025-06-05,68,4,26.43724338803823,123,0.13054860105844898,-0.26051000007734015,0,11,0,0,11,0,11,0,3,0.06153577322157469,2.680000066757202
DOUG,bb_v1@161-187#bo:bo_170#0|burst:burst_161_170#0|tb:tb_177_187#1,tb_177_187#1,bo_170#0,burst_161_170#0,原有,1,1,1,1,4,4,0,161,170,177,187,2025-06-05,68,4,26.43724338803823,123,0.13054860105844898,-0.26051000007734015,0,11,0,0,11,0,11,0,3,0.06153577322157469,2.680000066757202
DRSHF,bb_v1@176-181#bo:bo_176#0|burst:burst_176_177#0|tb:tb_179_181#0,tb_179_181#0,bo_176#0,burst_176_177#0,新增,2,1,1,0,2,1,1,176,177,179,181,2025-06-09,56,3,3.2883678742654174,168,1.7780580161957282,9.337050950186665e-05,3,0,0,0,3,3,0,3,0,0.07273601904001757,1.0199999809265137
