symbol,tb_id,group,causal,n_burst,tb_start,tb_date,anchor_idx,burst_end_max,burst_end_min,n_bo_after,pos_from_end,first_drought,distinct_pk,vol_spike,peak_age,fr,dd,fp_up,fp_down,fp_both,fp_none,up4,dn4,up6,dn6,n_buy_bars,atr_pct
VATE,tb_86#0,原有,True,1,86,2025-01-24,83,83,83,0,0,63,4,613.3858511837656,60,0.30217183788077184,-0.3314447760441338,0,1,0,0,1,0,0,1,1,0.07376736016489346
TPCS,tb_169_172#0,新增,True,2,169,2025-05-23,158,165,163,0,2,134,5,4.275755228505035,143,0.07561949042732707,-0.19617645230167435,0,0,0,4,0,0,0,0,4,0.07187298885284096
TPCS,tb_169_172#1,原有,True,2,169,2025-05-23,163,165,163,0,1,134,5,4.275755228505035,143,0.07561949042732707,-0.19617645230167435,0,0,0,4,0,0,0,0,4,0.07187298885284096
TPCS,tb_169_172#2,原有,True,1,169,2025-05-23,165,165,165,0,0,134,5,4.275755228505035,143,0.07561949042732707,-0.19617645230167435,0,0,0,4,0,0,0,0,4,0.07187298885284096
TRON,tb_176#0,新增,False,2,176,2025-06-04,168,184,182,3,4,66,5,490.7211336468926,131,19.846905087178584,0.004885930401774985,1,0,0,0,1,0,1,0,1,0.10079009480008741
TRON,tb_176#1,新增,False,2,176,2025-06-04,169,184,182,3,3,66,5,490.7211336468926,131,19.846905087178584,0.004885930401774985,1,0,0,0,1,0,1,0,1,0.10079009480008741
TRON,tb_193#0,新增,True,2,193,2025-06-30,177,184,182,0,2,66,5,490.7211336468926,131,0.6516129278367566,-0.3754838512789819,0,0,0,1,0,0,0,0,1,0.1891143371545318
TRON,tb_193#1,原有,True,2,193,2025-06-30,182,184,182,0,1,66,5,490.7211336468926,131,0.6516129278367566,-0.3754838512789819,0,0,0,1,0,0,0,0,1,0.1891143371545318
TRON,tb_193#2,原有,True,1,193,2025-06-30,184,184,184,0,0,66,5,490.7211336468926,131,0.6516129278367566,-0.3754838512789819,0,0,0,1,0,0,0,0,1,0.1891143371545318
TRT,tb_271_272#0,新增,True,2,271,2025-10-20,263,267,266,0,2,243,4,9.011703511053316,248,0.44536780897425343,-0.12279264940524348,2,0,0,0,2,0,2,0,2,0.053393578227988014
TRT,tb_271_272#1,原有,True,2,271,2025-10-20,266,267,266,0,1,243,4,9.011703511053316,248,0.44536780897425343,-0.12279264940524348,2,0,0,0,2,0,2,0,2,0.053393578227988014
TRT,tb_271_272#2,原有,True,1,271,2025-10-20,267,267,267,0,0,243,4,9.011703511053316,248,0.44536780897425343,-0.12279264940524348,2,0,0,0,2,0,2,0,2,0.053393578227988014
VNRX,tb_186#0,新增,False,1,186,2025-06-18,183,187,187,1,2,156,7,6.463398375954429,176,0.40298505763111003,-0.10447758644666494,0,0,0,1,1,0,0,0,1,0.09672618916684818
VNRX,tb_186#1,新增,False,1,186,2025-06-18,184,187,187,1,1,156,7,6.463398375954429,176,0.40298505763111003,-0.10447758644666494,0,0,0,1,1,0,0,0,1,0.09672618916684818
VNRX,tb_191_194#0,原有,True,1,191,2025-06-26,187,187,187,0,0,156,7,6.463398375954429,176,0.056290826187906984,-0.2568411432757784,0,0,0,4,0,1,0,0,4,0.1101009916197796
VOR,tb_195#0,新增,True,3,195,2025-07-02,188,196,192,1,4,119,6,39.837560601829296,122,1.2689656224744073,0.062068939208984375,1,0,0,0,1,0,1,0,1,0.18201165077569442
VOR,tb_195#1,新增,True,3,195,2025-07-02,191,196,192,1,3,119,6,39.837560601829296,122,1.2689656224744073,0.062068939208984375,1,0,0,0,1,0,1,0,1,0.18201165077569442
VOR,tb_195#2,原有,True,3,195,2025-07-02,192,196,192,1,2,119,6,39.837560601829296,122,1.2689656224744073,0.062068939208984375,1,0,0,0,1,0,1,0,1,0.18201165077569442
VOR,tb_195#3,原有,True,2,195,2025-07-02,193,196,193,1,1,119,6,39.837560601829296,122,1.2689656224744073,0.062068939208984375,1,0,0,0,1,0,1,0,1,0.18201165077569442
VRCA,tb_302_316#0,新增,True,1,302,2025-12-03,296,299,299,0,2,99,3,8.05270317711076,75,0.1298240774445186,-0.2607033915726891,0,0,0,15,0,0,0,0,15,0.10230886823167787
VRCA,tb_302_317#0,新增,True,1,302,2025-12-03,297,299,299,0,1,99,3,8.05270317711076,75,0.12688714748701896,-0.26654328191245125,0,0,0,16,0,0,0,0,16,0.10230886823167787
VRCA,tb_302_319#0,原有,True,1,302,2025-12-03,299,299,299,0,0,99,3,8.05270317711076,75,0.12419925971305777,-0.27496006492014935,0,0,0,18,0,1,0,0,18,0.10230886823167787
VRNO,tb_227_228#0,新增,True,3,227,2025-08-18,222,230,224,2,3,69,5,7.027994531092405,173,0.3214285714285714,-0.24285711560930523,0,0,0,2,0,0,0,0,2,0.1570167034317751
