symbol,tb_id,group,causal,n_burst,tb_start,tb_date,anchor_idx,burst_end_max,burst_end_min,n_bo_after,pos_from_end,first_drought,distinct_pk,vol_spike,peak_age,fr,dd,fp_up,fp_down,fp_both,fp_none,up4,dn4,up6,dn6,n_buy_bars,atr_pct
AIP,tb_307#0,新增,False,1,307,2024-12-06,305,310,310,1,1,94,4,4.655402896398069,152,0.40600674806809334,-0.04115682925240627,1,0,0,0,1,0,1,0,1,0.05030309022308495
AIP,tb_314#0,原有,True,1,314,2024-12-17,310,310,310,0,0,94,4,4.655402896398069,152,0.2640000343322755,-0.1279999732971191,1,0,0,0,1,0,0,0,1,0.05171594377438808
AHCO,tb_113_116#0,原有,True,1,113,2024-03-01,110,110,110,0,0,57,3,4.97228354901279,102,0.11853421499261074,-0.13368424702093412,0,0,0,4,0,0,0,0,4,0.0634624652628096
AMBIQ,tb_219#0,新增,False,1,219,2024-08-02,217,219,219,1,1,144,3,7.210794281071638,71,0.16593975771091785,-0.3173758872743404,0,1,0,0,0,1,0,0,1,0.08976081718325855
AMBIQ,tb_221#0,原有,True,1,221,2024-08-06,219,219,219,0,0,144,3,7.210794281071638,71,0.2163627243558901,-0.28785469405712294,0,0,0,1,0,1,0,0,1,0.09558726334815584
AMBR,tb_311_315#0,原有,True,2,311,2024-12-12,296,297,296,0,1,95,4,3.9049907578558223,162,0.4187865778605088,-0.1085831225839979,0,0,0,5,0,0,0,0,5,0.1382361897453565
AMBR,tb_311_315#1,原有,True,1,311,2024-12-12,297,297,297,0,0,95,4,3.9049907578558223,162,0.4187865778605088,-0.1085831225839979,0,0,0,5,0,0,0,0,5,0.1382361897453565
ALGS,tb_112#0,原有,True,1,112,2024-02-29,109,109,109,0,0,87,5,5.241554095861321,100,0.21212121212121215,-0.26262626262626265,0,0,0,1,0,1,0,0,1,0.07539914515323873
AAOI,tb_246#0,新增,False,2,246,2024-09-11,238,255,247,2,3,66,7,3.012757567557119,128,0.5610130905159905,-0.04681501682104405,1,0,0,0,1,0,1,0,1,0.07934082494471568
AAOI,tb_246#1,新增,False,2,246,2024-09-11,240,255,247,2,2,66,7,3.012757567557119,128,0.5610130905159905,-0.04681501682104405,1,0,0,0,1,0,1,0,1,0.07934082494471568
AAOI,tb_250_254#0,原有,True,2,250,2024-09-17,247,255,247,1,1,66,7,3.012757567557119,128,1.1126632521609234,-0.09882521563380646,5,0,0,0,5,0,5,0,5,0.08771660677984355
