date,name,label
2024-11-12,SIDU,True
2024-11-12,GELS,True
2024-11-12,UAMY,True
2024-11-12,AREN,True
2024-11-13,DWTX,True
2024-11-13,PROC,True
2024-11-13,DOMH,True
2024-11-13,MVST,True
2024-11-14,SINT,True
2024-11-14,WORX,True
2024-11-14,DRCT,True
2024-11-14,APM,True
2024-11-15,LITM,True
2024-11-15,LIDR,True
2024-11-15,CREV,True
2024-11-15,VUZI,True
2024-11-15,REKR,True
2024-11-15,BMRA,True
2024-11-18,AIFF,True
2024-11-18,LX,True
2024-11-18,CRNC,True
2024-11-18,LAES,True
2024-11-18,QMCO,True
2024-11-19,WKEY,True
2024-11-19,CISO,True
2024-11-20,IVVD,True
2024-11-20,AMPG,True
2024-11-21,ALBT,True
2024-11-21,OPTX,True
2024-11-21,NUKK,True
2024-11-22,VRAR,True
2024-11-22,RGTIW,True
2024-11-25,HTLM,True
2024-11-25,PSQH,True
2024-11-26,VNCE,True
2024-11-26,PRFX,True
2024-11-27,GXAI,True
2024-11-27,KRKR,True
2024-11-29,HOUR,True
2024-11-29,ONDS,True
2024-12-02,MATH,True
2024-12-02,QSI,True
2024-12-02,BBAI,True
2024-12-02,AISPW,True
2024-12-02,OPTT,True
2024-12-02,MYSZ,True
2024-12-02,IVDA,True
2024-12-03,INTZ,True
2024-12-06,AIRE,True
2024-12-06,FCUV,True
2024-12-09,FUBO,True
2024-12-09,CHEK,True
2024-12-10,ARQQW,True
2024-12-10,DATS,True
2024-12-10,NRXP,True
2024-12-10,CRVO,True
2024-12-11,QSIAW,True
2024-12-11,WLGS,True
2024-12-11,RR,True
2024-12-12,ABLV,True
2024-12-12,IPXXW,True
2024-12-12,CURR,True
2024-12-12,BAOS,True
2024-12-12,PGEN,True
2024-12-13,TPET,True
2024-12-13,VRME,True
2024-12-16,ANTE,True
2024-12-16,WCT,True
2024-12-16,WLDSW,True
2024-12-17,IBO,True
2024-12-17,SFHG,True
2024-12-17,GRRRW,True
2024-12-17,TMC,True
2024-12-18,CELZ,True
2024-12-18,PHIO,True
2024-12-19,AMPGW,True
2024-12-19,SUUN,True
2024-12-19,COEP,True
2024-12-20,QNTM,True
2024-12-20,CTM,True
2024-12-23,SES,True
2024-12-27,STIM,True
2024-12-27,VVPR,True
2024-12-27,QSG,True
2024-12-30,HOTH,True
2025-01-06,REBN,True
2025-01-07,CPIX,True
2025-01-07,OCG,True
2025-01-10,APPS,True
2025-01-10,SOPA,True
2025-01-14,WNW,True
2025-01-15,YOSH,True
2025-01-15,RPID,True
2025-01-15,ELPW,True
2025-01-16,BLBX,True
2025-01-16,DWTX,True
2025-01-16,DOMH,True
2025-01-17,TOI,True
2025-01-22,DTC,True
2025-01-23,AREN,True
2025-01-29,JTAI,True
2025-01-29,OMEX,True
2025-01-30,ABVE,True
2025-02-05,ASST,True
2025-02-06,ROMA,True
2025-02-06,PTN,True
2025-02-10,GRYP,True
2025-02-11,FNGR,True
2025-02-11,PNBK,True
2025-02-11,XTKG,True
2025-02-12,CRVO,True
2025-02-14,WW,True
2025-02-14,TZUP,True
2025-02-14,BSGM,True
2025-02-14,NWTN,True
2025-02-20,NCL,True
2025-02-21,UPXI,True
2025-02-21,ICCT,True
2025-02-24,ANTE,True
2025-02-24,VIGL,True
2025-02-24,BTM,True
2025-02-24,GRRRW,True
2025-02-24,FMST,True
2025-02-24,PTHL,True
2025-02-26,AGAE,True
2025-02-26,IBO,True
2025-02-26,BROG,True
2025-02-26,TDUP,True
2025-02-26,SPRO,True
2025-02-28,IMCC,True
2025-02-28,MASS,True
2025-03-03,VVPR,True
2025-03-03,NVFY,True
2025-03-03,QSG,True
2025-03-03,UAMY,True
2025-03-03,PSTV,True
2025-03-04,SGN,True
2025-03-04,ZONE,True
2025-03-06,WLDSW,True
2025-03-06,CAPT,True
2025-03-07,NVTS,True
2025-03-07,IMAB,True
2025-03-07,GPUS,True
2025-03-10,VERO,True
2025-03-10,AEVA,True
2025-03-11,AGEN,True
2025-03-11,TNON,True
2025-03-11,LVWR,True
2025-03-12,ZKIN,True
2025-03-14,SBEV,True
2025-03-14,HOVR,True
2025-03-14,MRM,True
2025-03-17,MVST,True
2025-03-18,RGC,True
2025-03-18,ABVC,True
2025-03-18,NWGL,True
2025-03-19,NEPH,True
2025-03-19,KNW,True
2025-03-19,GELS,True
2025-03-19,TMC,True
2025-03-20,CTOR,True
2025-03-20,ELPW,True
2025-03-20,IMTE,True
2025-03-21,TCRT,True
2025-03-21,MSGM,True
2025-03-21,CISO,True
2025-03-21,TNGX,True
2025-03-24,NVNI,True
2025-03-25,DEVS,True
2025-03-26,PAYS,True
2025-03-27,GSIW,True
2025-03-27,XTIA,True
2025-03-28,MODV,True
2025-03-28,SY,True
2025-03-28,SNPX,True
2025-03-28,AREN,True
2025-03-31,SKYE,True
2025-03-31,BGLC,True
2025-03-31,PTIX,True
2025-03-31,AGMH,True
2025-04-01,ABTS,True
2025-04-01,SONN,True
2025-04-01,SGMT,True
2025-04-02,SNES,True
2025-04-02,MOGO,True
2025-04-02,CHGG,True
2025-04-03,UUU,True
2025-04-03,INVZ,True
2025-04-03,FTEK,True
2025-04-03,APPS,True
2025-04-03,ADCT,True
2025-04-03,SBET,True
2025-04-04,SWIN,True
2025-04-04,DDC,True
2025-04-04,PRME,True
2025-04-04,VEEE,True
2025-04-04,MPU,True
2025-04-04,VTYX,True
2025-04-04,PROK,True
2025-04-04,BTCS,True
2025-04-07,GAME,True
2025-04-07,IMRX,True
2025-04-07,EVOK,True
2025-04-07,SANA,True
2025-04-07,CORZW,True
2025-04-07,IPDN,True
2025-04-07,YYGH,True
2025-04-07,SRFM,True
2025-04-08,SST,True
2025-04-08,GREE,True
2025-04-08,BTCM,True
2025-04-08,LIXT,True
2025-04-09,ZEPP,True
2025-04-09,BYSI,True
2025-04-09,FTFT,True
2025-04-09,FULC,True
2025-04-09,GUTS,True
2025-04-10,BLBX,True
2025-04-11,AIRS,True
2025-04-11,VVOS,True
2025-04-11,AMPX,True
2025-04-11,ROMA,True
2025-04-14,ABVE,True
2025-04-14,BBAI,True
2025-04-14,UHGWW,True
2025-04-14,ASST,True
2025-04-15,PRZO,True
2025-04-15,GRYP,True
2025-04-15,TMCWW,True
2025-04-15,SGMA,True
2025-04-15,OSS,True
2025-04-15,INTJ,True
2025-04-15,SLDP,True
2025-04-16,QMMM,True
2025-04-16,MEIP,True
2025-04-16,LPRO,True
2025-04-16,FNGR,True
2025-04-16,OMEX,True
2025-04-17,ATNF,True
2025-04-17,OPEN,True
2025-04-17,LMFA,True
2025-04-17,CREX,True
2025-04-17,VIOT,True
2025-04-17,ONDS,True
2025-04-17,ZENA,True
2025-04-21,CNTB,True
2025-04-21,BSGM,True
2025-04-22,ANEB,True
2025-04-23,LIDR,True
2025-04-23,AIFU,True
2025-04-23,NMRA,True
2025-04-24,LWLG,True
2025-04-24,CRBU,True
2025-04-24,MCVT,True
2025-04-25,CRML,True
2025-04-25,OPAD,True
2025-04-28,IXHL,True
2025-04-28,UAVS,True
2025-04-29,MBIO,True
2025-04-29,WW,True
2025-04-29,VIGL,True
2025-04-29,BTM,True
2025-04-29,FMST,True
2025-04-29,NCL,True
2025-04-30,CTXR,True
2025-05-01,BROG,True
2025-05-01,DPRO,True
2025-05-01,SPRO,True
2025-05-02,BNR,True
2025-05-02,ELWS,True
2025-05-05,ANTE,True
2025-05-05,IMCC,True
2025-05-05,ATAI,True
