base,axis,move,fold,D_base,D_move,keep_ratio,sym_move,diff_pt,se_pt,z,se_formula_pt,kept_minus_removed_pt,se_kr_pt
prod,burst.distinct_pk,3->5,2025,1434,559,0.39,168,-6.91,4.27,-1.62,5.07,-11.32,7.02
prod,burst.first_drought,40->0,2024,1041,1825,1.753,608,-4.16,2.68,-1.55,2.8,9.68,6.29
prod,burst.first_drought,40->0,2025,1434,2603,1.815,704,0.44,2.65,0.17,2.81,-0.99,5.9
prod,burst.first_drought,40->80,2024,1041,729,0.7,271,-0.87,2.77,-0.32,2.81,-2.92,9.11
prod,burst.first_drought,40->80,2025,1434,670,0.467,210,3.9,4.22,0.92,4.32,7.31,7.98
prod,burst.peak_age_max,60->0,2024,1041,1143,1.098,422,0.58,0.78,0.74,1.25,-6.47,8.75
prod,burst.peak_age_max,60->0,2025,1434,1636,1.141,461,1.29,1.04,1.23,1.41,-10.44,8.01
prod,burst.peak_age_max,60->120,2024,1041,533,0.512,235,2.03,3.39,0.6,4.19,4.17,6.97
prod,burst.peak_age_max,60->120,2025,1434,874,0.609,249,-1.24,2.7,-0.46,3.24,-3.18,6.89
prod,burst.max_bar_vol_ratio,3->0,2024,1041,1530,1.47,522,-2.74,2.55,-1.08,2.52,8.58,8.06
prod,burst.max_bar_vol_ratio,3->0,2025,1434,1945,1.356,561,-1.39,1.87,-0.74,2.05,5.28,7.03
prod,burst.max_bar_vol_ratio,3->6,2024,1041,647,0.622,247,3.33,3.27,1.02,3.35,8.81,8.8
prod,burst.max_bar_vol_ratio,3->6,2025,1434,817,0.57,245,-1.89,3.5,-0.54,3.52,-4.39,8.09
prod,tb.max_day_drop,0.2->None,2024,1041,1197,1.15,415,-1.2,1.66,-0.72,1.6,9.18,13.64
prod,tb.max_day_drop,0.2->None,2025,1434,1682,1.173,459,-1.4,1.8,-0.78,1.6,9.47,12.68
