rule,kind,n_drop,n_keep,med,fp,drop_mean_fr,drop_med_fr,kept_mean_fr,d_med,d_fp
max_drop_pct>=0.1,single,27,53,0.5351811772753443,0.7894736842105263,0.7198481597339419,0.3131312523164531,0.9074334966221604,0.010048009997163376,0.06166303332295231
max_drop_pct>=0.12,single,21,59,0.5351811772753443,0.7619047619047619,0.7954172855505726,0.3131312523164531,0.8614595362242187,0.010048009997163376,0.034094111017187845
max_drop_pct>=0.15,single,16,64,0.5535485337021719,0.7724137931034483,0.64903896486874,0.209102462466206,0.8928945655607983,0.028415366423991006,0.04460314221587425
max_drop_pct>=0.2,single,9,71,0.5588235912850996,0.7834394904458599,0.09470704061331157,0.0944070053085458,0.9391198911024101,0.033690424006918684,0.0556288395582859
max_drop_pct>=0.25,single,5,75,0.5483871463930441,0.7409638554216867,0.08822749469932559,0.1583101794497246,0.894516508803924,0.023253979114863155,0.013153204534112728
max_drop_tr>=1.5,single,29,51,0.5588235912850996,0.78,0.799256043652664,0.1861924325148261,0.869636281722817,0.033690424006918684,0.05218934911242601
max_drop_tr>=2.0,single,22,58,0.5535485337021719,0.7410714285714286,0.9386684915470876,0.2725718723670195,0.8082615313750863,0.028415366423991006,0.013260777683854585
max_drop_tr>=2.5,single,17,63,0.5483871463930441,0.6825396825396826,0.7824565849711677,0.3131312523164531,0.8607637093536679,0.023253979114863155,-0.04527096834789146
max_drop_tr>=3.0,single,12,68,0.5535485337021719,0.7402597402597403,0.6377319246371369,0.17225130598227534,0.8805454785021365,0.028415366423991006,0.012449089372166267
max_drop_atr>=1.5,single,20,60,0.5417841618341942,0.7368421052631579,0.8248084375302722,0.2725718723670195,0.8505617813864248,0.016650994556013266,0.009031454375583836
max_drop_atr>=2.0,single,14,66,0.5417841618341942,0.7588652482269503,0.826162741501204,0.209102462466206,0.847933291708698,0.016650994556013266,0.031054597339376322
max_drop_atr>=2.5,single,7,73,0.5483871463930441,0.7361963190184049,0.3059122101780131,0.1861924325148261,0.8957327419526688,0.023253979114863155,0.008385668130830859
max_drop_atr>=3.0,single,7,73,0.5483871463930441,0.7361963190184049,0.3059122101780131,0.1861924325148261,0.8957327419526688,0.023253979114863155,0.008385668130830859
max_bear_body_atr>=1.0,single,38,42,0.547002384280222,0.7469879518072289,0.9358764939089901,0.4274600251010888,0.7611087825059357,0.02186921700204103,0.01917730091965486
max_bear_body_atr>=1.5,single,22,58,0.5587667561481997,0.7583333333333333,0.7699608150078651,0.2725718723670195,0.8722540983382396,0.03363358887001877,0.030522682445759286
max_bear_body_atr>=2.0,single,12,68,0.5469455491433222,0.7748344370860927,1.0129779115784063,0.2101238987674685,0.8143255984536772,0.021812381865141228,0.04702378619851866
max_bear_body_atr>=2.5,single,8,72,0.5417841618341942,0.7391304347826086,1.2871806628268745,0.209102462466206,0.7948948657107766,0.016650994556013266,0.01131978389503463
max_bear_body_atr>=3.0,single,4,76,0.5319354771909561,0.7317073170731707,0.451177419667008,0.209102462466206,0.8648048151989854,0.006802309912775195,0.0038966661855966978
max_consec_bear>=2,single,35,45,0.5351811772753443,0.7142857142857143,0.7519818747907291,0.4035301142208499,0.9157891114692313,0.010048009997163376,-0.013524936601859716
max_consec_bear>=3,single,14,66,0.49337076064393803,0.7226277372262774,0.7309953765323162,0.6211410802438813,0.8681203085202804,-0.0317624066342429,-0.00518291366129664
max_consec_bear>=4,single,5,75,0.4651649638380822,0.7019867549668874,1.2584244799333806,1.0474614257748065,0.8165033764549869,-0.05996820344009873,-0.025823895920686568
bear_count>=2,single,40,40,0.5536053688390719,0.717948717948718,0.7153260297241778,0.4222071731122832,0.9729208611205952,0.02847220156089092,-0.009861932938856066
bear_count>=3,single,25,55,0.5286897771065678,0.6601941747572816,0.8621165463719151,0.4651649638380822,0.8359447631726009,0.003556609828386903,-0.06761647613029242
bear_count>=4,single,14,66,0.5251331672781809,0.7194244604316546,0.7115587394325368,0.5234011994718081,0.8722432315414456,0.0,-0.008386190455919373
max_consec_down>=2,single,28,52,0.48123039472675516,0.6914893617021277,0.8454666175845593,0.5436998490589339,0.8434001988735245,-0.04390277255142577,-0.036321289185446304
max_consec_down>=3,single,11,69,0.5286897771065678,0.7467532467532467,0.45007952868184414,0.2681455785576833,0.9069420408447918,0.003556609828386903,0.018942595865672707
max_consec_down>=4,single,3,77,0.4651649638380822,0.7228915662650602,0.9273932837024557,1.0474614257748065,0.8408791660088775,-0.05996820344009873,-0.004919084622513781
dd_close<=-0.1,single,31,49,0.4408842320037164,0.7545454545454545,0.8893902883754035,0.5885353169157369,0.8154852386561923,-0.08424893527446453,0.0267348036578805
dd_close<=-0.15,single,19,61,0.5351811772753443,0.762962962962963,0.7198087745019525,0.3131312523164531,0.8828444084959645,0.010048009997163376,0.035152312075388936
dd_close<=-0.2,single,14,66,0.5535485337021719,0.777027027027027,0.3944300877545933,0.209102462466206,0.9395129455337367,0.028415366423991006,0.049216376139452955
dd_close<=-0.3,single,7,73,0.5483871463930441,0.7784810126582279,0.2575160695555527,0.1583101794497246,0.9003734677657814,0.023253979114863155,0.05067036177065387
dd_low<=-0.2,single,37,43,0.4044854357330552,0.7281553398058253,1.066698788244152,0.5885353169157369,0.6526051271804023,-0.12064773154512576,0.0003446889182512347
dd_low<=-0.3,single,20,60,0.5417841618341942,0.7703703703703704,0.7047215901898706,0.2725718723670195,0.8905907304998918,0.016650994556013266,0.042559719482796354
dd_low<=-0.4,single,10,70,0.5319354771909561,0.7687074829931972,0.8096298391898115,0.2496618424156396,0.8490511034556116,0.006802309912775195,0.040896832105623226
down_slope>=0.03,single,38,42,0.4226848338683858,0.7575757575757576,0.8319058754870143,0.5535485337021719,0.8551774372686758,-0.10244833340979514,0.02976510668818355
down_slope>=0.05,single,30,50,0.45302459792089933,0.7522123893805309,0.9078585549351708,0.5736226189635184,0.8058823797147161,-0.0721085693572816,0.024401738492956904
down_slope>=0.08,single,22,58,0.5417841618341942,0.7751937984496124,0.7071592179198908,0.36661124575584136,0.8960753937854024,0.016650994556013266,0.04738314756203843
slope_ratio>=0.3,single,27,53,0.5286897771065678,0.7758620689655172,0.6658117150908304,0.4651649638380822,0.9349614967233681,0.003556609828386903,0.04805141807794322
slope_ratio>=0.5,single,15,65,0.5215765574497939,0.75,0.8486757630537182,0.5587099210112999,0.843072910584387,-0.003556609828387014,0.022189349112425982
slope_ratio>=1.0,single,6,74,0.49337076064393803,0.7534246575342466,0.6035882827420206,0.5819516477050053,0.8636262964505244,-0.0317624066342429,0.02561400664667257
rev_days>=4,single,36,44,0.5417841618341942,0.6746987951807228,0.8391809961609743,0.45302459792089933,0.8481672675453603,0.016650994556013266,-0.053111855706851174
rev_days>=5,single,21,59,0.5351811772753443,0.7357142857142858,0.733036219641052,0.3930555553715906,0.8836629664632004,0.010048009997163376,0.007903634826711747
rev_days>=6,single,10,70,0.5283788673625691,0.7278481012658228,0.49440359030913045,0.4608726662390792,0.8940834247242804,0.003245700084388181,3.7450378248760074e-05
max_upper_atr>=1.5,single,14,66,0.45302459792089933,0.7333333333333333,1.659247701749828,1.0216004021289409,0.6712183001408081,-0.0721085693572816,0.005522682445759264
max_upper_atr>=2.0,single,6,74,0.49337076064393803,0.7239263803680982,1.113499350270563,0.8911578145676814,0.822282155840102,-0.0317624066342429,-0.0038842705194758187
max_drop_pct>=0.1 OR max_drop_tr>=1.5,or,34,46,0.5535485337021719,0.7613636363636364,0.8098370304926437,0.35144316934027425,0.8694655781965445,0.028415366423991006,0.033552985476062336
