symbol,match_id,md_tr,md_pct,fr,up,dn,bo
FOCL,bb_v1@235-244#burst:burst_235_237#0|tb:tb_241_244#0,1.4374998835846973,0.08363637057217685,0.03673913097142423,0,2,0
FULC,bb_v1@145-162#burst:burst_145_154#0|tb:tb_159_162#0,1.0340137290151141,0.06631764627853565,0.4651649638380822,2,0,0
GIPR,bb_v1@260-278#burst:burst_260_268#0|tb:tb_272_278#0,2.2670023664093346,0.24193547890908274,0.05133078713504285,0,7,0
GLSI,bb_v1@308-316#burst:burst_308_313#0|tb:tb_315_316#0,0.0,0.0,1.4459328674758731,2,0,0
GWH,bb_v1@261-271#burst:burst_261_266#0|tb:tb_271#0,6.738196680507054,0.25653590264418674,0.1861924325148261,0,1,0
HOWL,bb_v1@243-262#burst:burst_243_256#0|tb:tb_261_262#0,1.5942022851026905,0.1004566314438607,0.07644409360059945,0,2,0
HUIZ,bb_v1@242-253#burst:burst_242_245#0|tb:tb_250_253#0,5.26666724946773,0.20519480036933208,0.23201249241758598,0,0,0
IMRX,bb_v1@165-191#burst:burst_165_186#0|tb:tb_190_191#0,1.0000002838316708,0.07581228866172467,0.5587099210112999,1,0,0
LASE,bb_v1@193-206#burst:burst_193_200#0|tb:tb_206#0,2.237288752015951,0.17010310988761146,1.0703363976804425,1,0,0
LPCN,bb_v1@312-318#burst:burst_312_314#0|tb:tb_317_318#0,0.0,0.0,1.5127078544523977,2,0,0
LPCN,bb_v1@312-318#burst:burst_312_316#0|tb:tb_318#0,0.0,0.0,1.3652007343109864,1,0,0
LRDC,bb_v1@283-289#burst:burst_283_286#0|tb:tb_288_289#0,0.0,0.0,0.7865762506522875,2,0,0
LRDC,bb_v1@283-293#burst:burst_283_288#0|tb:tb_290_293#0,0.3999995231629555,0.019230751596258297,0.5215765574497939,3,1,0
MPU,bb_v1@193-208#burst:burst_193_198#0|tb:tb_204_208#0,1.2083334264656103,0.1183673290648299,1.0032256819297842,4,1,0
MYSE,bb_v1@258-265#burst:burst_258_261#0|tb:tb_263_265#0,2.2281165632571134,0.1296296527955866,0.08007883079769895,0,3,0
NA,bb_v1@176-181#burst:burst_176_179#0|tb:tb_181#0,0.0,0.0,1.6610312548822401,1,0,0
NB,bb_v1@141-151#burst:burst_141_143#0|tb:tb_149_151#1,3.2758613177062332,0.25065964571124605,0.1583101794497246,0,0,0
NCL,bb_v1@146-160#burst:burst_146_149#0|tb:tb_154_160#0,2.4186055215389364,0.12351547625384952,2.7624215630612743,7,0,0
NMAD,bb_v1@195-216#burst:burst_195_200#0|tb:tb_206_216#0,1.3958334368136154,0.16876576107443783,0.5286897771065678,0,0,0
NVNXF,bb_v1@260-267#burst:burst_260_265#0|tb:tb_267#0,2.037038232809778,0.15068494716579106,0.004615417062884708,0,1,0
OSS,bb_v1@176-191#burst:burst_176_184#0|tb:tb_191#0,1.5076919352513685,0.10698685137131289,0.6537468435720255,1,0,0
PPIH,bb_v1@183-207#burst:burst_183_184#0|tb:tb_189_207#0,2.537816405608248,0.06422799720039192,0.3897550863640954,19,0,0
PTN,bb_v1@291-303#burst:burst_291_295#0|tb:tb_300_303#0,1.3146848918457974,0.12357579897180367,0.5885353169157369,1,0,0
PW,bb_v1@218-224#burst:burst_218_222#0|tb:tb_224#0,0.0,0.0,0.24840768277608882,0,1,0
RENT,bb_v1@297-313#burst:burst_297_311#0|tb:tb_313#0,0.0,0.0,0.15375859026511396,0,1,0
RKDA,bb_v1@149-162#burst:burst_149_156#0|tb:tb_161_162#1,0.9625292020851294,0.09580419976831717,0.2681455785576833,0,0,0
RKDA,bb_v1@263-276#burst:burst_263_268#0|tb:tb_275_276#0,3.96078435039117,0.2052845477238392,0.03347560716200171,0,0,0
SLNH,bb_v1@243-259#burst:burst_243_253#0|tb:tb_259#0,2.488888370843636,0.15999998365129744,1.0809715817605348,0,0,0
SPAI,bb_v1@201-209#burst:burst_201_205#0|tb:tb_209#0,1.2499992549421814,0.08045974995535818,1.39164491641779,1,0,0
SSP,bb_v1@118-130#burst:burst_118_122#0|tb:tb_129_130#0,1.3333304317981725,0.10119036777270811,0.021752672083285907,0,2,0
UAVS,bb_v1@174-186#burst:burst_174_179#0|tb:tb_183_186#0,1.4999992549420227,0.1499999446528289,1.6999822787917376,4,0,0
VOR,bb_v1@188-196#burst:burst_188_193#0|tb:tb_195_196#0,1.7674425103459808,0.11728398041506259,0.9957393784830751,1,0,0
VVOS,bb_v1@187-196#burst:burst_187_194#0|tb:tb_196#0,0.12965954824113127,0.010335907761208815,0.7945824192608637,1,0,0
WWR,bb_v1@253-263#burst:burst_253_259#0|tb:tb_261_263#0,0.0,0.0,1.553439557266165,3,0,0
WWR,bb_v1@253-263#burst:burst_253_261#0|tb:tb_263#0,0.0,0.0,1.4509804379889628,1,0,0
XPON,bb_v1@205-211#burst:burst_205_206#0|tb:tb_211#0,2.352941313966888,0.07594936804365715,2.819444292673364,1,0,0
YCBD,bb_v1@309-318#burst:burst_309_312#0|tb:tb_317_318#0,6.2222220259929255,0.21761656398917037,0.09440700530854584,0,2,0
ZENA,bb_v1@168-176#burst:burst_168_172#0|tb:tb_174_176#0,0.18181798477805944,0.012244886043219935,0.4035301142208499,0,3,0
ZEPP,bb_v1@197-200#burst:burst_197_198#0|tb:tb_200#0,0.0,0.0,8.193760307981988,1,0,0
