symbol,tb_id,bo_id,bo_idx,tb_start,tb_end,tb_date,first_bo_idx,burst_count,bo_drought,bo_vol_ratio,burst_first_drought,burst_distinct_pk,burst_max_bar_vol_ratio,burst_peak_age_max,atr,m2_depth_rel,m2_depth_atr,m1_burst_runup,label,fp_up,fp_down,fp_both,fp_none,day_drop
AMPG,tb_175_176#0,bo_168#0,168,175,176,2026-06-02 00:00:00,155,6,1,9.453127494611637,69,4,19.257423222255376,157,0.34927927854543267,0.13124330688179237,2.1215106195958606,1.5804878462928178,0.9553773158364762,2,0,0,0,0.06553909968910822
BDCO,tb_119_120#1,bo_116#0,116,119,120,2026-03-12 00:00:00,112,3,1,4.037569060773481,77,4,20.62422997946612,79,0.19111848167294193,0.12605049424770126,1.56970790113459,0.5448275419818107,0.8304292409485529,2,0,0,0,0.0758928908795421
BDCO,tb_128_142#0,bo_124#0,124,128,142,2026-03-25 00:00:00,112,4,8,4.146032297273832,77,5,20.62422997946612,79,0.2014421428500733,0.07352942852206691,0.992841144628655,0.7586205989370478,0.5321810184941776,8,0,0,7,0.10116731409218042
ELA,tb_126_131#0,bo_124#0,124,126,131,2026-03-23 00:00:00,124,1,34,21.130358441374174,34,4,21.130358441374174,59,0.7825877763397678,0.08126805591268718,1.801715850560718,0.311800171628525,0.5791138403986977,6,0,0,0,0.0
FATN,tb_171#0,bo_165#0,165,171,171,2026-05-27 00:00:00,153,4,3,1.0812327825238968,24,4,36.10570644904632,131,0.3967665416721732,0.24943400331050933,3.331934843976228,1.0766129257093482,0.7856846565184774,1,0,0,0,0.11241218295493643
FATN,tb_177#0,bo_172#0,172,177,177,2026-06-04 00:00:00,153,5,7,4.033232017663336,24,6,36.10570644904632,163,0.5681769810291162,0.15069133905973722,2.2827401522381328,2.088709592136955,0.025198946708451242,0,1,0,0,0.1369346918799305
LASE,tb_179#0,bo_177#0,177,179,179,2026-06-08 00:00:00,175,3,1,6.869355830036814,32,4,164.9667494729198,128,0.31907946322724345,0.228155302163151,2.945974050772508,2.9008620578915267,-0.012195110427418387,0,1,0,0,0.14364640811202775
MNTS,tb_178#0,bo_171#0,171,178,178,2026-06-05 00:00:00,168,3,1,12.870081545659444,26,4,40.93749473295813,114,1.528374981794906,0.3644144517223443,5.293204352744248,2.1350483372603404,0.17303822603015373,0,1,0,0,0.15739074236158768
