gate,x,fr,fp,match
first_drought,0.0,0.1779888820798502,0.536129866398506,5552
first_drought,9.0,0.1830777576663775,0.5356821589205397,5348
first_drought,10.0,0.1830777576663775,0.5364324489639881,5232
first_drought,20.0,0.18001002407514136,0.529004329004329,4176
first_drought,30.0,0.1755079419223082,0.5267331218849116,3587
first_drought,40.0,0.1698184481316558,0.51780237364982,3053
first_drought,60.0,0.167794935306941,0.5164294500087858,2337
first_drought,100.0,0.15212988292927695,0.5198997179567534,1346
first_drought,150.0,0.1330128562362964,0.47927927927927927,661
first_drought,250.0,0.11473193768765161,0.47692307692307695,188
distinct_pk,1.0,0.1779888820798502,0.536129866398506,5552
distinct_pk,2.0,0.19850663336745938,0.5177602620534343,3968
distinct_pk,3.0,0.21814409351882524,0.52101506740682,2170
distinct_pk,4.0,0.2289002036503424,0.5346385542168675,1131
distinct_pk,5.0,0.26004016466986857,0.542604501607717,592
distinct_pk,6.0,0.2516378374847009,0.5124223602484472,296
distinct_pk,8.0,0.1589403263936047,0.36809815950920244,73
distinct_pk,10.0,0.28047748249645243,0.3898305084745763,18
vol_spike,0.0,0.1779888820798502,0.536129866398506,5552
vol_spike,2.0,0.2008547475897817,0.5218651211801897,3289
vol_spike,5.0,0.2196078179601555,0.4909152086137281,1395
vol_spike,10.0,0.2647061032407556,0.4797734627831715,615
vol_spike,15.0,0.286387669386565,0.49248554913294795,427
vol_spike,20.0,0.2748179827360997,0.47075208913649025,343
vol_spike,30.0,0.2588580492487523,0.4574468085106383,243
vol_spike,50.0,0.239964349463329,0.4146341463414634,160
peak_age,0.0,0.1779888820798502,0.536129866398506,5552
peak_age,30.0,0.1758865818686568,0.5254021630464418,4396
peak_age,60.0,0.17551022791356,0.5307811691670977,3193
peak_age,90.0,0.178354509730375,0.5310018584220307,2409
peak_age,125.0,0.1840651162681722,0.5484875444839857,1843
peak_age,180.0,0.1840528276050139,0.5304232804232805,1241
peak_age,250.0,0.1696172930565481,0.5339506172839507,778
peak_age,350.0,0.1616666709255972,0.5225225225225225,395
day_drop,0.05,0.1663759698027697,0.5428959276018099,4441
day_drop,0.1,0.1739130241626862,0.5361620795107034,5187
day_drop,0.15,0.17703604050468458,0.5366622671946033,5422
day_drop,0.2,0.1776229691117212,0.5365853658536586,5492
day_drop,0.3,0.1779315203826303,0.5360609764866614,5542
day_drop,0.4,0.1779883995085286,0.5361069195947402,5547
day_drop,0.5,0.1779883995085286,0.5360684006322748,5549
